Tire Size	ISO	Circumference in mm
700 x 18C	18-622	2070
700 x 19C	19-622	2080
700 x 20C	20-622	2086
700 x 23C	23-622	2096
700 x 25C	25-622	2109
700 x 28C	28-622	2127
700 x 30C	30-622	2140
700 x 32C	32-622	2152
700 x 35C	35-622	2171
700 x 38C	38-622	2190
700 x 40C	40-622	2203
700 x 44C	44-622	2230
700 x 45C	45-622	2234
700 x 47C	47-622	2247
700 x 50C	50-622	2265
650 x 20C	20-571	1938
650 x 23C	23-571	1944
650 x 35A	37-590	2090
650 x 38B	40-584	2105
650 x 38A	40-590	2125
12" x 1.75"	47-203	0935
12" x 1.95"	54-203	0940
14" x 1.50"	40-254	1020
14" x 1.75"	47-254	1055
16" x 1.50"	40-305	1185
16" x 1.75"	47-305	1195
16" x 2.00"	54-305	1245
16" x 1-1/8"	28-349	1290
16" x 1-3/8"	37-349	1300
18" x 1.50"	40-355	1340
18" x 1.75"	47-355	1350
20" x 1.25"	32-406	1450
20" x 1.35"	35-406	1460
20" x 1.50"	40-406	1490
20" x 1.75"	47-406	1515
20" x 1.95"	50-406	1565
20" x 1-1/8"	28-451	1545
20" x 1-3/8"	37-451	1615
22" x 1-3/8"	37-501	1770
22" x 1-1/2"	40-501	1785
24" x 3/4" Tubular	 	1785
24" x 1"	25-520	1753
24" x 1-1/8"	28-540	1795
24" x 1-1/4"	32-540	1905
24" x 1.75"	47-507	1890
24" x 2.00"	50-507	1925
24" x 2.125"	54-507	1965
26" x 7/8" Tubular	 	1920
26" x 1.25"	32-559	1950
26" x 1.40"	37-559	2005
26" x 1.50"	40-559	2010
26" x 1.75"	47-559	2023
26" x 1.95"	50-559	2050
26" x 2.00"	52-559	2055
26" x 2.1"	54-559	2068
26" x 2.125"	57-559	2070
26" x 2.35"	58-559	2083
26" x 3.00"	75-559	2170
26" x 1-1.0"	25-559	1913
26" x 1"	25-571	1952
26" x 1-1/8"	28-590	1970
26" x 1-3/8"	37-590	2068
26" x 1-1/2"	37-584	2100
27" x 1"	25-630	2145
27" x 1-1/8"	28-630	2155
27" x 1-1/4"	32-630	2161
27" x 1-3/8"	37-630	2169
27.5" / 650B x 1.50"	40-584	2079
27.5" / 650B x 1.95"	50-584	2090
27.5" / 650B x 2.10"	54-584	2148
27.5" / 650B x 2.25"	57-584	2182
27.5" / 650B x 2.3"	58-584	2199
27.5" / 650B x 2.35"	60-584	2207
27.5" / 650B x 2.4"	61-584	2213
27.5" / 650B x 2.5"	64-584	2231
27.5" / 650B x 2.6"	66-584	2247
27.5" / 650B x 2.8"	71-584	2279
29" x 2.1"	54-622	2286
29" x 2.2"	56-622	2302
29" x 2.25"	57-622	2310
29" x 2.3"	58-622	2326
29" x 2.35"	60-622	2326
29" x 2.4"	61-622	2333
29" x 2.5"	64-622	2350
29" x 2.6"	66-622	2366

